# output_snr_256.txt
4	4	43	0.055	0.955137	0.9522	0.9853	1021
9	9	71	0.104	0.913292	0.9596	0.9904	1945
22	22	90	0.206	0.838697	0.9804	0.9774	3498
49	42	100	0.301	0.763907	0.9885	0.9398	6060
93	78	146	0.401	0.698176	0.9904	0.9212	9790
156	138	305	0.501	0.644088	0.9855	0.9246	14307
150	148	275	0.600	0.519265	0.9934	0.9884	13028
143	143	256	0.701	0.414053	0.9952	0.9955	9784
