16	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	-0.119084	1.703993	0.107533	3.299886	0.487837	2.246548	1.083835	1.474461	0.088131	0.261651	0.078821	-0.039990	0.402668	0.166498	-0.062191	-0.072129
1	0.669740	0.003387	1.019253	2.362413	1.176457	2.387821	0.324464	0.048084	0.973275	0.974764	0.969098	0.620034	1.039032	0.909384	0.641015	0.611751
2	-0.161871	1.799500	0.000000	1.973769	0.745380	4.126786	1.180286	1.936684	-0.012709	0.351325	-0.025924	-0.130505	0.635174	0.605947	-0.134810	-0.136907
3	1.611932	1.623478	2.158667	-0.000000	1.837491	1.341382	1.067689	1.217367	2.076781	1.031140	2.076781	1.559282	1.840325	1.681954	1.544839	1.529415
4	0.014039	2.393889	0.261593	3.508096	-0.037322	1.495392	1.625693	2.246699	0.240367	0.722486	0.240367	0.131700	0.647342	0.654730	0.113820	0.090075
5	4.007364	1.677802	5.065227	3.333429	3.958819	-0.089551	1.078804	1.285745	4.907990	2.121991	4.893990	3.743110	3.528979	3.448029	3.781145	3.784552
6	0.878831	0.279744	1.272112	1.239211	1.322402	1.703456	0.177056	0.886093	1.236819	0.701759	1.236819	0.821034	1.070533	0.949282	0.815089	0.814829
7	0.426736	0.012361	0.740961	2.101113	1.016520	1.536056	0.331899	-0.005574	0.721462	0.815289	0.747163	0.449062	0.890090	0.678016	0.417750	0.395322
8	-0.130655	2.486508	0.051317	3.614955	0.974599	4.156637	1.495164	2.364400	-0.043630	0.522577	0.024063	-0.066575	0.458652	0.791666	-0.059663	-0.108120
9	0.198301	1.814996	0.451050	1.824921	0.717880	1.384057	1.121339	1.457901	0.413432	0.009007	0.482140	0.177853	0.599514	0.481104	0.152146	0.143382
10	-0.130655	2.486508	0.051317	3.614955	0.974599	4.156637	1.659146	2.364400	0.024063	0.564451	-0.043630	-0.105535	0.849920	0.816854	-0.098912	-0.108120
11	-0.043061	1.910504	0.143680	2.120700	0.865103	4.290963	1.336497	2.043799	0.127247	0.589517	0.114031	-0.105163	0.747337	0.716105	-0.067337	-0.077761
12	0.024423	1.722607	0.237546	3.481382	0.380123	1.169810	1.131002	1.854686	0.197364	0.545157	0.197364	0.070555	-0.083918	0.516654	0.042452	0.041534
13	-0.065858	1.752880	0.131595	2.175541	0.068270	1.214585	1.190861	1.883899	0.087176	0.384758	0.087176	0.058022	-0.009774	-0.017071	0.007429	0.017380
14	-0.002615	2.552101	0.206159	3.701778	0.723257	4.253650	1.774724	2.427696	0.174890	0.739858	0.136938	0.014215	0.630023	0.877143	-0.093188	-0.006234
15	-0.026660	2.587420	0.177081	3.748528	0.731012	4.305888	1.810994	2.461778	0.146566	0.756019	0.117420	0.013036	0.621713	0.902938	-0.008848	-0.106000
