#Patterns,Configurations
1, 1
2, 2
3, 3
5, 5
7, 7
10, 10
10, 10
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
11, 11
